variable,category,description,Kenya 2020 LR,Comment,Kenya 2019 LR,Comment,Kenya 2018 LR,Comment,Kenya 2017 LR,Comment,Kenya 2016 LR,Comment,Tanzania 2020 LR,Comment,Tanzania 2019 LR,Comment,Tanzania 2018 LR,Comment,Tanzania 2017 LR,Comment,Tanzania 2016 LR,Comment,Rwanda 2020 B,Comment,Rwanda 2020 A,Comment,Rwanda 2019 B,Comment,Rwanda 2019 A,Comment,Rwanda 2018 B,Comment,Rwanda 2018 A,Comment,Rwanda 2017 B,Comment,Rwanda 2017 A,Comment,Rwanda 2016 B,Comment,Rwanda 2016 A,Comment,Uganda 2020 LR,Comment,Burundi 2015 A,Comment,Burundi 2015 B,Comment,Burundi 2016 A,Comment,Burundi 2016 B,Comment,Burundi 2017 A,Comment,Burundi 2017 B,Comment,Burundi 2019 A,Comment,Burundi 2019 B,Comment,Burundi 2020 A,Comment,Burundi 2020 B,Comment,Malawi 2020 LR,Comment,Zambia 2020 LR,Comments,Zambia 2019 LR,Comment,Zambia 2018 LR,Comment
dap_kg_ph,inputs,"reported kg of DAP (unless othewise noted this is the average kg applied to field type, e.g. maize program land, client non-program land, non-client land, on average, which includes the field harvested but also potentially other fields) / self reported field type hectares",,Only collect acreage data,x,,x,self reports higher than usual this year,x,,x,,,,x,pertains to field type,x,pertains to harvested field,x,pertains to harvested field,x,pertains to field type,x,,x,,x,pertains to harvested field,x,pertains to harvested field,x,pertains to harvested field,x,pertains to harvested field,x,pertains to harvested field,x,pertains to harvested field,,not collected,x,pertains to harvested field,,per acre data collected instead,x,,x,,,,x,,x,,x,,x,,x,,x,"Decrease of fertilizer use from 2020A on because the government forbad the use of use of DAP, Urea or NPK to replace them by domestically produced blends",x,"Decrease of fertilizer use from 2020A on because the government forbad the use of use of DAP, Urea or NPK to replace them by domestically produced blends",X,Includes both dap and NPK,,,,,,
dap_method,practice,method for applying DAP at planting (holes vs broadcast) only collected in Rwanda. Other countries report all basal fertilizer applicaiton method,,This was not collected in 2020,,,,,,,,,,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,,,,x,,,data not collected in lr2020,,,,,,,,,x,,x,,x,,x,,x,,x,,,,,,,,,
distance_meter,field characteristics,estimated meters from household to field in Kenya,,,x,,x,,x,,,,,collected in minutes not meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data not collected in lr2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distance_min,field characteristics,Estimated distance walking from the household to the filed (Rwanda and Tanzania),,,,,,,,,,,x,,x,,x,,,,,,x,,x,,x,,x,,x,,x,,,,,,,,,,,data not collected in lr2020,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
district,location,1AF program district,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,X,,x,,x,,x,
drought,field characteristics,farmer reported presence of drought that season,x,,x,,x,,x,,x,,,not collected in tz,,,,,,,,,x,,x,,,,,,,,,,,,x,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,
ducks,demographics,# of ducks owned,,,x,,,,x,,,,x,,x,,x,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,data not collected,x,,,,,,,,,,,,,,,,,,,,X,,x,,x,,,
electricity,demographics,"1= farmer is connected to electric grid, 0 = not",x,,x,,x,,,,x,,x,,,,x,,,,x,,x,,x,,,,,,,,x,,x,,,,x,,x,,x,,,,,,,,,,x,,x,,x,,x,,x,,x,,X,,x,,x,,x,
FAW,field characteristics,farmer reported presence of fall army worm that season,x,,x,,,,x,,,,x,Only collected on the subset of farmers who reported using pesticide,x,,x,,,,,,x,,x,,x,,x,,x,,x,,,,,,,,,,,data not collected,,,,,,,,,,,,,x,,,,,,,,,,x,,x,,,
fertility,field characteristics,"farmer rating of soil fertility compared to other fields they farm (e.g better, worse, same, don't know, only farm 1 field)",x,,x,,x,,x,,,,,not collected in tz,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,data not collected,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
